Company_ID_Number,Company_City,"City_Zip
",Job_Title,Job_Link,Job_Type,Company_Rating,Job_Degree,Company_Name,Company_Industry,Job_Salary,Job_Skills,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s14,s15
Job2,Dallas,75001,AI Scientist I,https://www.indeed.com/rc/clk?jk=fec647775a21ecc6&fccid=2c6850e24c8a2811&vjs=3,artificial_intelligence,4.1,Bachelors Degree,Federal Reserve Bank of Dallas,Banks and Financial Services,<80000,Statistical Software,Time Management,R,Microsoft Office,Excel,Tableau,Data Science,,,,,,,
Job3,Annapolis,21401,AI Scientist - Entry to Experienced Level,https://www.indeed.com/rc/clk?jk=835a2db493898f25&fccid=e8f18ca6180ec8da&vjs=3,artificial_intelligence,4.3,Bachelors Degree,National Security Agency,Software Development,<80000,AI,Quantitative Analysis,Data Mining,Machine Learning,Analysis Skills,CSS,,,,,,,,
Job4,New York City,10001,Geospatial AI Scientist,https://www.indeed.com/rc/clk?jk=6255c4e94a7efa27&fccid=4500f579ddd13a3b&vjs=3,artificial_intelligence,3.8,Associates Degree,NYC Careers,Government,<80000,Statistical Software,Machine Learning,R,Image Processing,SQL,Cloud Computing,ArcGIS,GIS,Python,AWS,,,,
Job5,Boise,83711,Bioinformatics AI Scientist,https://www.indeed.com/rc/clk?jk=a6e45b6264f26b10&fccid=95ffa1338c01d3de&vjs=3,artificial_intelligence,4.2,PHD/Doctorate Degree,University of Idaho,Education and Schools,<80000,Linux,R,C/C++,Python,,,,,,,,,,
Job6,St. Louis,63101,AI Scientist,https://www.indeed.com/rc/clk?jk=56090c965b57d1c4&fccid=ca509b164585637a&vjs=3,artificial_intelligence,4.3,Masters Degree,usajobs.gov,Government,<80000,JavaScript,Data Mining,TS/SCI Clearance,R,C/C++,Python,,,,,,,,
Job7,Philadelphia,19019,AI Scientist,https://www.indeed.com/rc/clk?jk=8c8963cb38cd4907&fccid=1f92178814b05d89&vjs=3,artificial_intelligence,4.2,PHD/Doctorate Degree,The University of Pittsburgh,Education and Schools,<80000,Machine Learning,R,SPSS,Data Analysis,Statistical Software,Data Mining,SAS,Python,,,,,,
Job8,Philadelphia,19019,AI Scientist,https://www.indeed.com/rc/clk?jk=dffcee22fbc2647a&fccid=1f92178814b05d89&vjs=3,artificial_intelligence,4.2,Bachelors Degree,The University of Pittsburgh,Education and Schools,<80000,Machine Learning,R,SPSS,Data Analysis,Statistical Software,Data Mining,SAS,Python,,,,,,
Job9,Dallas,75001,AI Scientist,https://www.indeed.com/rc/clk?jk=290bda935f2dacf6&fccid=a3d79a6d43cd3473&vjs=3,artificial_intelligence,4.3,Masters Degree,Rice University,Education and Schools,<80000,Machine Learning,Analysis Skills,Data Science,,,,,,,,,,,
Job10,Atlanta,30301,AI Scientist,https://www.indeed.com/rc/clk?jk=ba1b24901c04182c&fccid=7cb8926c790321ab&vjs=3,artificial_intelligence,3.2,PHD/Doctorate Degree,Catalina Marketing,Consulting and Business Services,<80000,TensorFlow,Project Planning,Linux,Machine Learning,C/C++,Python,Jira,,,,,,,
Job11,Orlando,32808,Enrollment AI Scientist & Econometrician,https://www.indeed.com/rc/clk?jk=392a25a4538255e0&fccid=dc35d3f5eff3380a&vjs=3,artificial_intelligence,3.9,Associates Degree,Florida Polytechnic University,Education and Schools,<80000,Machine Learning,R,Statisical Analysis,SPSS,Statistical Software,Data Mining,Scala,Tableau,Java,Drivers License,Python,,,
Job12,Richmond,23173,AI Scientist,https://www.indeed.com/rc/clk?jk=6be53db39253f014&fccid=9e215d88a6b33622&vjs=3,artificial_intelligence,4,PHD/Doctorate Degree,Deloitte,Consulting and Business Services,<80000,Microsoft SQL Server,Data Mining,Machine Learning,Visual Basic,R,SAS,SQL,Excel,Tableau,Microsoft Access,SPSS,Python,,
Job13,New Orleans,70032,innovationOchsner (iO) - AI Scientist - Benson Tower,https://www.indeed.com/rc/clk?jk=1ab50cdc801e4dad&fccid=ef34ff29d760a6f2&vjs=3,artificial_intelligence,3.9,PHD/Doctorate Degree,Ochsner Health System,Health Care,<80000,AI,Data Mining,Machine Learning,R,Natural Language Processing,Data Science,Python,,,,,,,
Job14,New York City,10001,Bureau of Environmental Survei...,https://www.indeed.com/rc/clk?jk=36b066c2b1fcad50&fccid=4146d8487cdbf799&vjs=3,artificial_intelligence,4.1,Associates Degree,NYC Careers,Government,<80000,Statistical Software,SAS,SQL,Tableau,,,,,,,,,,
Job15,Atlanta,30301,Environmental AI Manager/AI Scientist (Associate Level),https://www.indeed.com/rc/clk?jk=15f179f4a2c91e25&fccid=3f0d5695925aa6ba&vjs=3,artificial_intelligence,3.3,Masters Degree,ERM Group,Consulting and Business Services,<80000,Microsoft SQL Server,Data Management,Power BI,CAD Software,SQL,Microsoft Access,SharePoint,ArcGIS,,,,,,
Job16,Richmond,23173,Sr. AI Scientist - Secret,https://www.indeed.com/rc/clk?jk=9bad8e7ecfd34847&fccid=9e215d88a6b33622&vjs=3,artificial_intelligence,4,PHD/Doctorate Degree,Deloitte,Consulting and Business Services,<80000,Data Mining,R,Python,,,,,,,,,,,
Job17,New Orleans,70032,innovation Ochsner - iO - AI Scientist - Benson Tower,https://www.indeed.com/rc/clk?jk=637c5cf376758bf0&fccid=ef34ff29d760a6f2&vjs=3,artificial_intelligence,3.9,Masters Degree,Ochsner Health System,Health Care,<80000,AI,Data Mining,Machine Learning,R,Natural Language Processing,Data Science,Python,,,,,,,
Job18,San Francisco,94115,AI Analysis & Machine Learning Postdoctoral Researcher,https://www.indeed.com/rc/clk?jk=fbe8ba212a66f66c&fccid=26727f1861532c63&vjs=3,artificial_intelligence,4.3,Associates Degree,Lawrence Livermore National Laboratory,Government,<80000,TensorFlow,Machine Learning,Git,Python,SVN,,,,,,,,,
Job19,San Francisco,94115,Applied Machine Learning Scientist - Digital Imaging,https://www.indeed.com/rc/clk?jk=25c78fd15a1225c6&fccid=f89deb5a97c7738a&vjs=3,artificial_intelligence,4.3,Bachelors Degree,Adobe,Internet and Software,<80000,TensorFlow,JavaScript,React,Data Mining,Adobe Photoshop,Machine Learning,CSS,HTML5,,,,,,
Job20,Atlanta,30301,Machine Learning Scientist,https://www.indeed.com/rc/clk?jk=a4ad7885c2d9e171&fccid=485155ca34f4e0c7&vjs=3,artificial_intelligence,3.8,Associates Degree,Intuitive Surgical,Software Development,<80000,TensorFlow,Machine Learning,R,Python,C/C++,SQL,,,,,,,,
Job21,Minneapolis,55111,AI Scientist/Sr. Scientific Programmer (Researcher 6),https://www.indeed.com/rc/clk?jk=5fe3136ede9ececa&fccid=5c42f0ed4ae5b712&vjs=3,artificial_intelligence,4.2,Bachelors Degree,University of Minnesota,Education and Schools,<80000,Machine Learning,Scripting,R,Perl,SQL,MATLAB,Python,,,,,,,
Job22,San Francisco,94115,Machine Learning Intern (Summer 2019),https://www.indeed.com/rc/clk?jk=e84451fb3b44e7af&fccid=aef928e89977f7f0&vjs=3,artificial_intelligence,4.3,Associates Degree,Splunk,Internet and Software,<80000,Splunk,Data Mining,Machine Learning,Data Science,,,,,,,,,,
Job23,Seattle,98101,Machine Learning Scientist II,https://www.indeed.com/rc/clk?jk=b0b692b299eeeac4&fccid=734cb5a01ee60f80&vjs=3,artificial_intelligence,4.2,Masters Degree,Microsoft,Internet and Software,<80000,Natural Language Processing,Hive,Spark,Microsoft Powerpoint,Machine Learning,Hadoop,MATLAB,Python,,,,,,
Job24,Charleston,29401,AI SCIENTIST AND TEAM LEAD (AI Analytics Practice),https://www.indeed.com/rc/clk?jk=0da5984107651519&fccid=686538d3cb10c608&vjs=3,artificial_intelligence,4,PHD/Doctorate Degree,Duke University and Duke University Health System,Health Care,<80000,Data Mining,Statisical Analysis,Qualitative Research,,,,,,,,,,,
Job25,Charleston,29401,AI SCIENTIST,https://www.indeed.com/rc/clk?jk=8efd80c5f5327d01&fccid=686538d3cb10c608&vjs=3,artificial_intelligence,4,Masters Degree,Duke University and Duke University Health System,Health Care,<80000,Java,R,SAS,Python,SQL,Tableau,,,,,,,,
Job26,Chicago,60657,Senior AI Scientist,https://www.indeed.com/rc/clk?jk=3e8093be990019de&fccid=a74a0fbbfa36acbd&vjs=3,artificial_intelligence,3.6,Associates Degree,Coyote Logistics,Transport and Freight,<80000,AI,Quantitative Analysis,Microsoft SQL Server,Machine Learning,Visual Basic,R,SQL,,.Net,C#,Python,,,
Job27,San Francisco,94115,Machine Learning,https://www.indeed.com/rc/clk?jk=33f4f5ff144200dd&fccid=7a3824693ee1074b&vjs=3,artificial_intelligence,3.9,Bachelors Degree,Twitter,Internet and Software,<80000,Big Data,Natural Language Processing,Spark,Machine Learning,Hadoop,,,,,,,,,
Job28,San Francisco,94115,Temporary Content Developer - Machine Learning,https://www.indeed.com/rc/clk?jk=d693f99164a0652c&fccid=e10c55d179cada25&vjs=3,artificial_intelligence,4.5,Associates Degree,iD Tech,Software Development,<80000,TensorFlow,Machine Learning,Python,,,,,,,,,,,
Job29,New York City,10001,Machine Learning,https://www.indeed.com/rc/clk?jk=4cfe1424f1f243e7&fccid=7a3824693ee1074b&vjs=3,artificial_intelligence,3.9,PHD/Doctorate Degree,Twitter,Internet and Software,<80000,Big Data,Natural Language Processing,Spark,Machine Learning,Hadoop,,,,,,,,,
Job30,Salt Lake City,84044,FamilySearch Machine Learning Annotation Specialist,https://www.indeed.com/rc/clk?jk=72521a99687d16f4&fccid=7e408d96768a4a43&vjs=3,artificial_intelligence,4.8,Associates Degree,The Church of Jesus Christ of Latter-day Saints,Organization,<80000,Machine Learning,Microsoft Powerpoint,Microsoft Office,,,,,,,,,,,
Job31,Columbus,43004,Machine Learning Research Scientist - Optics & Photonics Lab,https://www.indeed.com/rc/clk?jk=779d3c6cf2ba01bf&fccid=d81796328c01c258&vjs=3,artificial_intelligence,3.7,PHD/Doctorate Degree,Riverside Research,Aerospace and Defense,<80000,.Net,C#,Machine Learning,Software Development,MATLAB,Image Processing,Signal Processing,Python,C/C++,,,,,
Job32,San Deigo,22434,Entry-Level AI Scientist,https://www.indeed.com/rc/clk?jk=75cfae0095c2b2a6&fccid=de71a49b535e21cb&vjs=3,artificial_intelligence,3.9,Masters Degree,IBM,Consulting and Business Services,80000-99999,Java,Data Mining,Machine Learning,Design Experience,Scripting,R,SAS,Python,,,,,,
Job33,Dallas,75001,AI Scientist-Tchnlgy,https://www.indeed.com/rc/clk?jk=0b9ad9290db1cbc0&fccid=822bc5d9a49270ea&vjs=3,artificial_intelligence,3.6,Associates Degree,Walmart,Retail,80000-99999,Microsoft SQL Server,Data Mining,R,Oracle,SAS,SQL,DB2,,,,,,,
Job34,Chicago,60657,AI Scientist - Life Sciences,https://www.indeed.com/rc/clk?jk=0ae3364fc390a035&fccid=5d1506a5df73a48e&vjs=3,artificial_intelligence,4.3,Bachelors Degree,Argonne National Laboratory,Government,80000-99999,AI,Next Generation Sequencing,Machine Learning,Bioinformatics,,,,,,,,,,
Job35,Little Rock,72002,AI Scientist,https://www.indeed.com/rc/clk?jk=90db0e680e72105d&fccid=822bc5d9a49270ea&vjs=3,artificial_intelligence,3.6,Bachelors Degree,Walmart,Retail,80000-99999,Microsoft SQL Server,Data Mining,R,Oracle,SAS,SQL,DB2,,,,,,,
Job36,Seattle,98101,AI Scientist,https://www.indeed.com/rc/clk?jk=5e5f660fe4f20ea9&fccid=734cb5a01ee60f80&vjs=3,artificial_intelligence,4.2,Associates Degree,Microsoft,Internet and Software,80000-99999,.Net,Data Mining,C#,Machine Learning,R,C/C++,Python,SQL,,,,,,
